author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Sense Development;developer;https://www.cian.ru/sale/flat/298147653/;Москва;sale;flat;10;13;1;41.1;28727105;2024;-1;Монолитный;-1;Предчистовая;25,6 м²;3,1 м²;+74951375240;Даниловский;Подольское шоссе;3;Тульская;Logos
COLDY;developer;https://www.cian.ru/sale/flat/297997324/;Москва;sale;flat;3;14;-1;202.0;190852541;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951384953;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
ID 96167522;realtor;https://www.cian.ru/sale/flat/294226529/;Москва;sale;flat;5;9;1;36.1;9120000;1980;-1;-1;-1;-1;-1;-1;+79660617014;Люблино; Верхние Поля;27С2;Братиславская;
Донстрой;developer;https://www.cian.ru/sale/flat/299621199/;Москва;sale;flat;2;12;1;59.0;45548000;2026;-1;Монолитный;-1;Без отделки, чистовая с мебелью;13 м²;25,7 м²;+74951387210;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
ID 96167522;realtor;https://www.cian.ru/sale/flat/298882717/;Москва;sale;flat;9;9;1;36.5;9215000;1980;-1;-1;-1;-1;-1;-1;+79660617014;Люблино; Верхние Поля;27С2;Братиславская;
Level Group;developer;https://www.cian.ru/sale/flat/296507595/;Москва;sale;flat;31;68;1;34.0;12924737;2027;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;16,1 м²;10,6 м²;+74951374977;Печатники;;3;Кожуховская;Левел Южнопортовая ЖК
ID 96167522;realtor;https://www.cian.ru/sale/flat/295766411/;Москва;sale;flat;9;9;1;35.3;8977500;1980;-1;-1;-1;-1;-1;-1;+79660617014;Люблино; Верхние Поля;27С2;Братиславская;
Основа;developer;https://www.cian.ru/sale/flat/293007170/;Москва;sale;flat;5;36;1;44.5;12482250;2026;-1;Монолитный;-1;Без отделки, предчистовая;18,6 м²;11,8 м²;+74951346369;Ярославский;проспект Мира;222;Ростокино;Квартал МИРАПОЛИС
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/299009652/;Москва;sale;flat;5;13;1;55.6;82000000;-1;-1;-1;-1;-1;17,3 м²;17,6 м²;+79153701347;Хамовники; Усачева;11Б;Спортивная;Садовые кварталы
Sezar Group;developer;https://www.cian.ru/sale/flat/296578805/;Москва;sale;flat;18;25;1;49.2;26568000;2024;-1;Монолитно-кирпичный;-1;Без отделки;15,5 м²;17,3 м²;+74951344536;Тропарево-Никулино;проспект Вернадского;;;Клубный дом Full House
Ольга Медведева;realtor;https://www.cian.ru/sale/flat/297663914/;Москва;sale;flat;4;5;1;29.5;9700000;-1;-1;-1;-1;-1;8 м²;10 м²;+79067814526;Гольяново;Амурская ;1Ак1;Локомотив;Level Амурская
Основа;developer;https://www.cian.ru/sale/flat/299292676/;Москва;sale;flat;4;36;1;43.2;12096000;2026;-1;Монолитный;-1;Без отделки, предчистовая;20,5 м²;10,2 м²;+74951346369;Ярославский;проспект Мира;222;Ростокино;Квартал МИРАПОЛИС
ID 52489970;realtor;https://www.cian.ru/sale/flat/299461048/;Москва;sale;flat;8;9;1;34.0;11300000;1967;-1;-1;-1;-1;-1;8 м²;+79151217270;Северное Измайлово;Щелковское шоссе;90;Щёлковская;
St Michael;developer;https://www.cian.ru/sale/flat/298001384/;Москва;sale;flat;18;21;1;37.75;18856110;2024;-1;Монолитно-кирпичный;-1;Без отделки;11,9 м²;15,7 м²;+74951370057;Хорошевский;;;Полежаевская;Зорге 9 ЖК
Группа Родина;developer;https://www.cian.ru/sale/flat/285606803/;Москва;sale;flat;21;23;1;55.1;34196700;2024;-1;Монолитно-кирпичный;-1;Без отделки;15,4 м²;-1;+74951374518;Ростокино;;к2;Ботанический сад;Союз ЖК
ID 75089457;unknown;https://www.cian.ru/sale/flat/299137161/;Москва;sale;flat;6;8;1;29.4;14500000;1959;-1;-1;-1;-1;18 м²;5,5 м²;+79060420387;Останкинский;Звездный бульвар;26к1;ВДНХ;
Группа Родина;developer;https://www.cian.ru/sale/flat/285606968/;Москва;sale;flat;21;23;1;55.1;35794600;2024;-1;Монолитно-кирпичный;-1;Без отделки;15,3 м²;-1;+74951374518;Ростокино;;к1;Ботанический сад;Союз ЖК
MOD estate;real_estate_agent;https://www.cian.ru/sale/flat/299499349/;Москва;sale;flat;5;21;1;48.4;22800000;2024;-1;-1;-1;-1;15,8 м²;15,5 м²;+79807505779;Щукино;Щукинская ;3;Щукинская;Интонация
Forma;developer;https://www.cian.ru/sale/flat/299647973/;Москва;sale;flat;9;29;1;43.7;20967260;2026;-1;-1;-1;Без отделки;13,2 м²;21,2 м²;+74951374358;Аэропорт;Часовая ;28к8;Сокол;SOUL
Estes;real_estate_agent;https://www.cian.ru/sale/flat/299469852/;Москва;sale;flat;4;29;1;46.3;19955000;2023;-1;-1;-1;-1;17 м²;14 м²;+79099984743;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
Forma;developer;https://www.cian.ru/sale/flat/297989341/;Москва;sale;flat;7;20;1;39.74;18816971;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;-1;20,2 м²;+74951387110;Даниловский;Автозаводская ;26;Тульская;FORST
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/290753046/;Москва;sale;flat;20;25;1;59.6;25988390;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;23,2 м²;20,3 м²;+74951346273;Покровское-Стрешнево;;к11;Тушинская;Алиа ЖК
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/298843352/;Москва;sale;flat;13;22;1;17.6;8600000;1980;-1;-1;-1;-1;9,6 м²;3 м²;+79031506327;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Apsis Globe;developer;https://www.cian.ru/sale/flat/296192853/;Москва;sale;flat;3;9;1;39.59;11440000;2025;-1;Монолитно-кирпичный;-1;Чистовая;15,8 м²;4 м²;+74951379085;Косино-Ухтомский; Николая Старостина;вл14;Реутов;МФК CITIMIX Новокосино
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/292001549/;Москва;sale;flat;18;48;1;42.4;20000000;2022;-1;-1;-1;-1;15 м²;15,4 м²;+79857918826;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/297618287/;Москва;sale;flat;3;15;1;36.6;12396420;2026;-1;Монолитный;-1;Без отделки;13,5 м²;12,4 м²;+74951378725;Головинский;Северный ао;;Коптево;Михалковский ЖК
Estes;real_estate_agent;https://www.cian.ru/sale/flat/296561320/;Москва;sale;flat;18;41;1;35.6;16300000;2024;-1;-1;-1;Без отделки;23 м²;-1;+79150074713;Хорошево-Мневники;Шелепихинская набережная;34к7;Шелепиха;Сердце Столицы
Acropol;real_estate_agent;https://www.cian.ru/sale/flat/297728964/;Москва;sale;flat;2;5;1;31.7;10800000;1963;-1;-1;-1;-1;19 м²;6 м²;+79683618715;Кузьминки;Волгоградский проспект;159К2;Кузьминки;
Татьяна Геннадьевна Сердечная;realtor;https://www.cian.ru/sale/flat/267693639/;Москва;sale;flat;7;12;1;41.0;11500000;2018;-1;-1;-1;-1;20 м²;15 м²;+79057164800;;бульвар Веласкеса;3к1;Прокшино;Испанские кварталы
Андрей Галаев;realtor;https://www.cian.ru/sale/flat/299284866/;Москва;sale;flat;4;14;1;37.7;11500000;2019;-1;-1;-1;-1;17 м²;10 м²;+79854456001;;бульвар Веласкеса;6;Филатов Луг;Испанские кварталы
Мария Балакина;realtor;https://www.cian.ru/sale/flat/299496599/;Москва;sale;flat;3;16;1;37.2;13999000;1981;-1;-1;-1;-1;-1;-1;+79660592363;Строгино;Таллинская ;2;Строгино;
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/298735611/;Москва;sale;flat;2;28;1;30.3;15490000;2025;-1;-1;-1;-1;16,1 м²;9,1 м²;+79685409240;Лефортово; Золоторожский Вал;11С26;Площадь Ильича;Символ
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298161719/;Москва;sale;flat;2;7;1;30.4;21000000;-1;-1;-1;-1;-1;17 м²;7 м²;+79651072135;Хамовники;Смоленский бульвар;7;Смоленская;
VSN Realty;real_estate_agent;https://www.cian.ru/sale/flat/299609970/;Москва;sale;flat;1;9;1;47.7;21586085;2022;-1;-1;-1;-1;-1;-1;+79850666993;Кунцево; Академика Павлова;7;Молодёжная;TWICE
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/291330392/;Москва;sale;flat;6;14;1;42.0;14000000;-1;-1;-1;-1;-1;14 м²;16 м²;+79153446474;;бульвар Веласкеса;2;Прокшино;Испанские кварталы
Владис;real_estate_agent;https://www.cian.ru/sale/flat/298834659/;Москва;sale;flat;30;31;1;37.0;14650000;2023;-1;-1;-1;-1;13,1 м²;13,9 м²;+79099665694;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/298771197/;Москва;sale;flat;14;30;1;37.8;16000000;2024;-1;-1;-1;-1;20 м²;10 м²;+79645956377;Южнопортовый;Волгоградский проспект;32/5к2;Угрешская;Метрополия
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/292499976/;Москва;sale;flat;10;15;1;40.0;18500000;2016;-1;-1;-1;-1;20 м²;9 м²;+79857136920;Беговой;Ленинградский проспект;35С2;Динамо;Квартал апартаментов Искра-Парк
ID 11242446;unknown;https://www.cian.ru/sale/flat/299614559/;Москва;sale;flat;5;25;1;39.0;19950000;2022;-1;-1;-1;-1;16 м²;15 м²;+79160097572;Щукино; Берзарина;30Б;Октябрьское поле;Октябрьское поле
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/293998940/;Москва;sale;flat;25;51;1;45.0;21700000;2019;-1;-1;-1;-1;15 м²;17 м²;+79660585760;Пресненский;Шмитовский проезд;39С4;Шелепиха;Headliner
AVIV ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299616169/;Москва;sale;flat;3;22;1;41.63;7464151;2022;-1;-1;-1;Без отделки;-1;-1;+79853834022;Бирюлево Восточное;6-я Радиальная ;вл7к30;Царицыно;Царицыно-2
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/298794106/;Москва;sale;flat;7;7;1;19.1;7490000;-1;-1;-1;-1;-1;10,1 м²;4 м²;+79645640966;Марьина роща;проезд 3-й Марьиной рощи;40С1;Марьина Роща;
А101;developer;https://www.cian.ru/sale/flat/296534515/;Москва;sale;flat;3;17;1;20.9;7530735;2025;-1;-1;-1;Чистовая;6,3 м²;8,2 м²;+74951387242;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299598380/;Москва;sale;flat;3;5;1;19.8;7500000;1956;-1;-1;-1;-1;10 м²;3 м²;+79099019406;Марфино;Гостиничная ;10К5;Окружная;Апартаменты Алтай
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/298333746/;Москва;sale;flat;10;14;1;30.0;7590000;2019;-1;-1;-1;-1;-1;12 м²;+79660472795;; Харлампиева;50к3;Филатов Луг;Спортивный квартал
А101;developer;https://www.cian.ru/sale/flat/295067531/;Москва;sale;flat;8;9;1;36.1;7679192;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;14,5 м²;11,5 м²;+74951387243;;;;Толстопальцево;Родные кварталы
РИЭЛТ ХАУС;real_estate_agent;https://www.cian.ru/sale/flat/298868538/;Москва;sale;flat;1;5;1;29.6;8700000;1960;-1;-1;-1;-1;18,3 м²;5,3 м²;+79660625489;Покровское-Стрешнево; Свободы;2;Тушинская;
ФСК;developer;https://www.cian.ru/sale/flat/290027276/;Москва;sale;flat;6;15;1;36.73;8761655;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;11,9 м²;11,3 м²;+74951387180;;;к2;Солнцево;Движение. Говорово ЖК
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/296468472/;Москва;sale;flat;13;16;1;40.3;8800000;2023;-1;-1;-1;-1;17,2 м²;12 м²;+79850318241;; Гренадерская;9к3;Коммунарка;Новые Ватутинки, мкр. Десна
А101;developer;https://www.cian.ru/sale/flat/296666659/;Москва;sale;flat;11;19;1;37.3;8876679;2025;-1;-1;-1;Без отделки;14 м²;11,1 м²;+74951387242;;;;Бунинская аллея;Бунинские кварталы
КРОСТ;developer;https://www.cian.ru/sale/flat/295336768/;Москва;sale;flat;14;21;1;33.3;8824500;2025;-1;Монолитный;-1;Без отделки;10,8 м²;12,6 м²;+74951378819;;;;Прокшино;Новая Звезда ЖК
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/295618847/;Москва;sale;flat;6;9;1;32.5;8800000;1976;-1;-1;-1;-1;18,6 м²;6 м²;+79645641067;Чертаново Центральное; Красного Маяка;19К3;Пражская;
КРОСТ;developer;https://www.cian.ru/sale/flat/277811366/;Москва;sale;flat;20;22;1;31.8;8872200;2025;-1;Монолитный;-1;Без отделки;11 м²;9,2 м²;+74951378819;;;;Прокшино;Новая Звезда ЖК
Реалист;real_estate_agent;https://www.cian.ru/sale/flat/299378747/;Москва;sale;flat;3;8;1;38.4;9500000;2003;-1;-1;-1;-1;20,5 м²;8,6 м²;+79164711951;Люблино; Маршала Баграмяна;4;Люблино;
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/294952235/;Москва;sale;flat;12;12;1;38.2;9490000;1977;-1;-1;-1;-1;-1;6 м²;+79660472795;Алтуфьевский;Костромская ;4;Бибирево;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/298485326/;Москва;sale;flat;4;12;1;35.0;9600000;1969;-1;-1;-1;-1;20 м²;9,5 м²;+79672089940;Западное Дегунино;Ангарская ;3;;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/298333996/;Москва;sale;flat;4;14;1;38.0;9600000;1970;-1;-1;-1;-1;18 м²;8 м²;+79161726022;Савёлки;Зеленоград;к519;Лобня;
НАТАНИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/295942718/;Москва;sale;flat;7;12;1;34.2;9700000;1965;-1;-1;-1;-1;18 м²;7,5 м²;+79651378519;Соколиная гора; Буракова;5К1;Сортировочная;
А101;developer;https://www.cian.ru/sale/flat/299534635/;Москва;sale;flat;6;14;1;37.1;9807728;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;14 м²;10,9 м²;+74951379037;;;;Улица Скобелевская;Скандинавия
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297239148/;Москва;sale;flat;8;12;1;43.8;10126560;2025;-1;Монолитный;-1;Без отделки, чистовая;22,1 м²;11,2 м²;+74951378831;;;5/3;Аэропорт Внуково;Новые Ватутинки, мкр.  Заречный
1-й ДСК;developer;https://www.cian.ru/sale/flat/297606747/;Москва;sale;flat;3;16;1;32.2;10215450;2026;-1;Монолитный;-1;Предчистовая, чистовая;10,8 м²;11,5 м²;+74951387168;;;;Тёплый Стан;1-й Ясеневский
А101;developer;https://www.cian.ru/sale/flat/293988002/;Москва;sale;flat;9;13;1;32.0;10214474;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;13,2 м²;9,3 м²;+74951379037;;;25.4;Бунинская аллея;Скандинавия ЖК
Ваше Подмосковье;real_estate_agent;https://www.cian.ru/sale/flat/298375955/;Москва;sale;flat;8;9;1;32.5;10200000;1965;-1;-1;-1;-1;18 м²;6 м²;+79857435984;Бескудниковский;Бескудниковский бульвар;28К2;Селигерская;
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297843816/;Москва;sale;flat;12;14;1;41.1;10320210;2024;-1;Монолитный;-1;Чистовая;16,2 м²;13,5 м²;+74951378829;;;к9/1.1;Ольховая;Новые Ватутинки, мкр. Центральный
Антонина Петровна Пронина;realtor;https://www.cian.ru/sale/flat/298439960/;Москва;sale;flat;11;25;1;38.0;10250000;2007;-1;-1;-1;-1;19,1 м²;7,8 м²;+79670389653;Солнцево; Главмосстроя;6;Говорово;
АгентФорт;real_estate_agent;https://www.cian.ru/sale/flat/298981209/;Москва;sale;flat;3;14;1;38.3;10250000;2003;-1;-1;-1;-1;20,8 м²;8,3 м²;+79651073445;Южное Бутово; Адмирала Лазарева;45;Бунинская аллея;
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/293813700/;Москва;sale;flat;1;14;1;40.0;10590000;1988;-1;-1;-1;-1;20,9 м²;9 м²;+79652698894;Ново-Переделкино;Новопеределкинская ;9;;
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/299370362/;Москва;sale;flat;1;10;1;43.0;10600000;2014;-1;-1;-1;-1;24 м²;11 м²;+79104359213;; Липовый Парк;10к1;Коммунарка;Коммунарка
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297843134/;Москва;sale;flat;9;14;1;41.2;10567800;2024;-1;Монолитный;-1;Чистовая;16,2 м²;13,9 м²;+74951378829;;;к9/2.2;Ольховая;Новые Ватутинки, мкр. Центральный
Екатерина Москвина;realtor;https://www.cian.ru/sale/flat/299611159/;Москва;sale;flat;4;17;1;35.9;10600000;2000;-1;-1;-1;-1;18 м²;9 м²;+79199919342;Марьино;Братиславская ;5;Братиславская;
А101;developer;https://www.cian.ru/sale/flat/296805518/;Москва;sale;flat;6;18;1;34.7;10693457;2025;-1;-1;-1;Чистовая;11,9 м²;11,5 м²;+74951375089;;;6.1.1;Бунинская аллея;Дзен-кварталы ЖК
МонАрх;developer;https://www.cian.ru/sale/flat/295830553/;Москва;sale;flat;16;30;1;36.8;10745600;2024;-1;Монолитный;-1;Без отделки;18,1 м²;-1;+74951347641;Черемушки; Наметкина;10Д;Воронцовская;Комплекс апартаментов AIST RESIDENCE
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/298743351/;Москва;sale;flat;5;5;1;30.0;10700000;1960;-1;-1;-1;-1;19 м²;6 м²;+79672089940;Войковский;Ленинградское шоссе;13К2;Войковская;
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/299426713/;Москва;sale;flat;11;17;1;37.8;11400000;1987;-1;-1;-1;-1;19,1 м²;8,4 м²;+79853829256;Солнцево;Солнцевский проспект;19;Солнцево;
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/298641099/;Москва;sale;flat;6;14;1;36.9;11500000;1994;-1;-1;-1;-1;18 м²;9 м²;+79067756023;Марьино;Марьинский бульвар;3;Марьино;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/296112704/;Москва;sale;flat;9;14;1;35.0;11500000;1969;-1;-1;-1;-1;20 м²;9 м²;+79652709336;Очаково-Матвеевское;Матвеевская ;5;Аминьевская;
Сергей Зилотов;realtor;https://www.cian.ru/sale/flat/298725364/;Москва;sale;flat;7;14;1;38.0;11500000;2008;-1;-1;-1;-1;18,9 м²;7,5 м²;+79106707586;Западное Дегунино;Коровинское шоссе;3К2;Селигерская;
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/297721712/;Москва;sale;flat;3;9;1;42.0;11500000;2018;-1;-1;-1;-1;17 м²;15 м²;+79651096613;;бульвар Андрея Тарковского;5;Рассказовка;Рассказово
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/293650837/;Москва;sale;flat;30;30;1;46.3;11468510;2025;-1;Монолитный;-1;Без отделки, предчистовая;18,6 м²;12,8 м²;+74951387040;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
ОЛ ИНКЛЮЗИВ;real_estate_agent;https://www.cian.ru/sale/flat/298962475/;Москва;sale;flat;4;9;1;31.0;11500000;1969;-1;-1;-1;-1;19 м²;6 м²;+79154663006;Южное Тушино;бульвар Яна Райниса;19К2;Сходненская;
ФСК;developer;https://www.cian.ru/sale/flat/294627171/;Москва;sale;flat;2;22;1;35.1;12380823;2022;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;19,1 м²;4,8 м²;+74951387365;Покровское-Стрешнево;Волоколамское шоссе;71/22к3;Спартак;Апарт-комплекс Движение.Тушино
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298883263/;Москва;sale;flat;8;25;1;39.9;12350000;2022;-1;-1;-1;-1;-1;15 м²;+79099986975;; Никитина;11к4;Рассказовка;Город-парк Первый Московский
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/298603304/;Москва;sale;flat;4;12;1;35.4;12500000;-1;-1;-1;-1;-1;20,2 м²;9,6 м²;+79660638799;Коптево;Большая Академическая ;17;Войковская;
MR Group;developer;https://www.cian.ru/sale/flat/299526123/;Москва;sale;flat;2;48;1;30.7;12524955;2027;-1;Монолитно-кирпичный;-1;Предчистовая;10 м²;13,2 м²;+74951346365;Покровское-Стрешнево;Вишневая ;7С128;Тушинская;Мультиквартал CITYZEN
ID 73038306;real_estate_agent;https://www.cian.ru/sale/flat/299361449/;Москва;sale;flat;7;9;1;32.6;12800000;1963;-1;-1;-1;-1;20,5 м²;6 м²;+79154890653;Зюзино;Азовская ;9К1;Нахимовский проспект;
КОРТРОС;developer;https://www.cian.ru/sale/flat/298603676/;Москва;sale;flat;15;26;1;25.4;12928600;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;19,1 м²;-1;+74951387159;Останкинский;;;ВДНХ;АйЛав ЖК
Анна Озерецковская;realtor;https://www.cian.ru/sale/flat/299498202/;Москва;sale;flat;2;9;1;32.3;12950000;1965;-1;-1;-1;-1;-1;-1;+79684379071;Хорошево-Мневники; Демьяна Бедного;2к1;Народное Ополчение;
Место;real_estate_agent;https://www.cian.ru/sale/flat/298979276/;Москва;sale;flat;11;16;1;44.4;13700000;2005;-1;-1;-1;-1;18,7 м²;12 м²;+79151860651;Печатники; Гурьянова;4К1;Печатники;
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/299085185/;Москва;sale;flat;21;33;1;41.1;13700000;-1;-1;-1;-1;-1;12,3 м²;18,8 м²;+79805105160;Отрадное;Сигнальный проезд;16к1;Владыкино;Сигнальный 16
Колди;developer;https://www.cian.ru/sale/flat/298329163/;Москва;sale;flat;14;21;1;35.0;13772391;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951370086;Нижегородский;;;Калитники;Н'айс Лофт ЖК
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/298376811/;Москва;sale;flat;5;15;1;40.0;13700000;2022;-1;-1;-1;-1;-1;-1;+79163558034;; Малое Понизовье;4;Филатов Луг;Саларьево парк
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/296816715/;Москва;sale;flat;16;22;1;39.3;13700000;2007;-1;-1;-1;-1;20 м²;10 м²;+79647927812;Богородское;Краснобогатырская ;9;Белокаменная;
Level Group;developer;https://www.cian.ru/sale/flat/299038888/;Москва;sale;flat;2;12;1;33.9;13874008;2026;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;16,6 м²;10,8 м²;+74951374693;Очаково-Матвеевское;;к9;Аминьевская;Левел Мичуринский ЖК
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/sale/flat/299474994/;Москва;sale;flat;3;14;1;35.7;13800000;2009;-1;-1;-1;-1;-1;9,2 м²;+79150750924;Марфино;Большая Марфинская ;4к4;Улица Милашенкова;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299071528/;Москва;sale;flat;5;9;1;32.9;13950000;1963;-1;-1;-1;-1;-1;5,2 м²;+79645386847;Ломоносовский; Гарибальди;8К4;Новаторская;
ЛСР;developer;https://www.cian.ru/sale/flat/297474115/;Москва;sale;flat;21;30;1;31.6;15131186;2026;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;17,1 м²;9,5 м²;+74951377214;Москворечье-Сабурово;;;Москворечье;Вэйв ЖК
ID 19839194;homeowner;https://www.cian.ru/sale/flat/298937861/;Москва;sale;flat;12;19;1;36.0;15200000;2017;-1;-1;-1;-1;15 м²;10 м²;+79672648317;Солнцево;Производственная ;12к1;Солнцево;Лучи
Основа;developer;https://www.cian.ru/sale/flat/293804028/;Москва;sale;flat;3;36;1;55.9;15428400;2026;-1;Монолитный;-1;Без отделки, предчистовая;14,9 м²;11,2 м²;+74951346369;Ярославский;проспект Мира;222;Ростокино;Квартал МИРАПОЛИС
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299022647/;Москва;sale;flat;31;33;1;42.68;15350000;2025;-1;-1;-1;Чистовая;14,8 м²;18,8 м²;+79099665694;Южнопортовый;;1.3;Волгоградский проспект;Первый Дубровский ЖК
Брусника Обмен;real_estate_agent;https://www.cian.ru/sale/flat/296556180/;Москва;sale;flat;5;5;1;31.0;15350000;-1;-1;-1;-1;-1;15 м²;-1;+79660532907;Дорогомилово;Студенческая ;12;;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/297759350/;Москва;sale;flat;7;23;1;38.0;15500000;2018;-1;-1;-1;-1;17 м²;8 м²;+79672089940;Проспект Вернадского;проспект Вернадского;54;Проспект Вернадского;
CENTURY 21;real_estate_agent;https://www.cian.ru/sale/flat/293687122/;Москва;sale;flat;2;6;1;50.3;15450000;2018;-1;-1;-1;-1;12,2 м²;8 м²;+79164725525;; Зеленая Горка;1к1;Говорово;Татьянин Парк
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/298211391/;Москва;sale;flat;15;17;1;50.0;16300000;2014;-1;-1;-1;-1;18,6 м²;17 м²;+79163236639;; Татьянин Парк;11;Говорово;Татьянин Парк
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/sale/flat/292030671/;Москва;sale;flat;3;8;1;49.7;16250000;1959;-1;-1;-1;-1;25,5 м²;-1;+79197660288;Лефортово;Энергетическая ;22;Авиамоторная;
MR Group;developer;https://www.cian.ru/sale/flat/285042533/;Москва;sale;flat;34;53;1;39.8;16442210;2025;-1;Монолитный;-1;Предчистовая;12,9 м²;20 м²;+74951387212;Покровское-Стрешнево;Северо-Западный ао;;Трикотажная;Сити Бэй ЖК
Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/298749656/;Москва;sale;flat;9;16;1;34.3;16500000;-1;-1;-1;-1;-1;19 м²;10 м²;+79855650933;Замоскворечье;Большая Пионерская ;33К2;;
Группа Аквилон;developer;https://www.cian.ru/sale/flat/297904970/;Москва;sale;flat;4;23;1;34.8;16441260;2026;-1;Монолитно-кирпичный;-1;Предчистовая;12,6 м²;11,1 м²;+74951378818;Хорошевский;;;Зорге;Инди Тауэрс ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/293200556/;Москва;sale;flat;10;58;1;36.9;16641014;2026;-1;Монолитный;-1;Без отделки, чистовая, чистовая с мебелью;20,8 м²;11,1 м²;+74951387197;Коньково;40-й кв-л;к1;Калужская;Обручева 30 ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/299025523/;Москва;sale;flat;26;27;1;38.2;16559700;2024;-1;Панельный, монолитный;-1;Без отделки, предчистовая, чистовая;14 м²;10,2 м²;+74951378815;Щукино; Берзарина;;Щукинская;Октябрьское поле
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/299114060/;Москва;sale;flat;4;28;1;35.0;17800000;2025;-1;-1;-1;Без отделки;12 м²;11,3 м²;+79652548528;Нагатино-Садовники;Варшавское шоссе;37АК1;Нагатинская;Rotterdam
